ALUMNO,APELLIDOS,NOMBRE,MATRICULA,ETAPA,ANNO,TIPO,ESTUDIOS,GRUPO,REPETIDOR,FECHAMATRICULA,CENTRO,PROCEDENCIA,ESTADOMATRICULA,FECHARESMATRICULA,NUM_EXP_CENTRO
426611,Fernández Zapatero,Luisa,426611,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
689754,Olmos Olmos,Óscar,689754,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
821616,Olmedo Ramos,Mercedes,821616,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
390492,Margall Zapatero,Dolores,390492,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
345889,Pi Pi,Salvador,345889,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
603313,Rodríguez González,Carlos,603313,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
575483,González González,Salvador,575483,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
259341,Olmedo Gómez,Encarnación,259341,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
460782,Zapatero Olmedo,Carla,460782,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
832728,López Rodríguez,Luisa,832728,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
809525,Gómez García,Luis ,809525,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
468431,Pi Rodríguez,Sonia,468431,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
761344,González Ramos,Santiago,761344,667,2016,o,1º de ESO,2º B,N,08/07/2016,98273455,83123454,,,271
658563,Ramos Ulpiánez,Enrique,658563,667,2016,o,1º de ESO,2º B,N,08/07/2016,98273455,83123454,,,271
785696,Fernández Arenas,Antonio,785696,667,2016,o,1º de ESO,2º B,N,08/07/2016,98273455,83123454,,,271
637434,Nogueras Pi,Antonio,637434,667,2016,o,1º de ESO,2º B,N,08/07/2016,98273455,83123454,,,271
905047,Nogueras López,Luisa,905047,667,2016,o,1º de ESO,2º B,N,08/07/2016,98273455,83123454,,,271
857989,González González,Manuel,857989,667,2016,o,1º de ESO,2º B,N,08/07/2016,98273455,83123454,,,271
243089,Brey González,Dolores,243089,667,2016,o,1º de ESO,2º B,N,08/07/2016,98273455,83123454,,,271
352592,García Ulpiánez,Sacramento,352592,667,2016,o,1º de ESO,2º B,N,08/07/2016,98273455,83123454,,,271
864414,Pi Robles,Pedro,864414,667,2016,o,1º de ESO,2º B,N,08/07/2016,98273455,83123454,,,271
792590,Lopetegui Margall,Dolores,792590,667,2016,o,1º de ESO,2º B,N,08/07/2016,98273455,83123454,,,271
546316,Olmos Arenas,Carla,546316,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
189768,Olmedo González,Sacramento,189768,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
733392,Fernández Olmos,Jacobo,733392,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
233877,Pi Atance,Encarnación,233877,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
353241,Olmos Brey,Santiago,353241,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
449701,Zapatero Nogueras,Dolores,449701,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
422392,Nogueras Zapatero,Montserrat,422392,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
510222,Céspedes Fernández,Luis ,510222,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
748338,Robles Ulpiánez,Pedro,748338,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
251072,García Céspedes,Salvador,251072,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
984794,López Atance,Francisco,984794,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
973221,López Pi,Sacramento,973221,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
689754,García Margall,Francisco,689754,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
682120,López Atance,Luis ,682120,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
451530,García Zapatero,Enrique,451530,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
771872,Céspedes Olmedo,Mercedes,771872,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
509276,Céspedes González,Sacramento,509276,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
473949,González Fernández,Carlos,473949,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
924047,Ramos Olmos,Carla,924047,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
152464,Arenas Ramos,Dolores,152464,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
565486,Atance Robles,Manuel,565486,667,2016,o,1º de ESO,3º A,N,08/07/2016,98273455,83123454,,,271
448334,López Robles,Pedro,448334,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
802353,Nogueras Rodríguez,Salvador,802353,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
452522,Fernández Gómez,Jacobo,452522,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
862189,Gómez Gómez,Manuel,862189,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
146593,Ramos Ramos,Encarnación,146593,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
492445,Fernández Pi,Petra,492445,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
665055,Margall Ulpiánez,Óscar,665055,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
951375,Ramos Lopetegui,Sonia,951375,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
446640,Atance Arenas,Jacobo,446640,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
512189,Rodríguez Olmos,Luis ,512189,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
173593,Pi García,Salvador,173593,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
542918,Fernández Fernández,Sacramento,542918,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
613280,Rodríguez Olmos,Antonio,613280,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
867514,Pi Lopetegui,Petra,867514,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
168947,Ulpiánez Arenas,Mercedes,168947,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
526495,Olmos Brey,Montserrat,526495,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
453658,Ramos Zapatero,Luisa,453658,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
204115,Robles Olmedo,Luis ,204115,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
969906,González Margall,Encarnación,969906,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
542482,Ramos Robles,Manuel,542482,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
197120,Ulpiánez Fernández,Manuel,197120,667,2016,o,1º de ESO,3º B,N,08/07/2016,98273455,83123454,,,271
918833,Brey Pi,Francisco,918833,667,2016,o,1º de ESO,4º A,N,08/07/2016,98273455,83123454,,,271
918241,Atance Olmos,Luisa,918241,667,2016,o,1º de ESO,4º A,N,08/07/2016,98273455,83123454,,,271
151798,González Fernández,Dolores,151798,667,2016,o,1º de ESO,4º A,N,08/07/2016,98273455,83123454,,,271
125298,Olmos Nogueras,Manuel,125298,667,2016,o,1º de ESO,4º A,N,08/07/2016,98273455,83123454,,,271
358543,Robles Pi,Jacobo,358543,667,2016,o,1º de ESO,4º A,N,08/07/2016,98273455,83123454,,,271
942274,Ulpiánez Margall,Sonia,942274,667,2016,o,1º de ESO,4º A,N,08/07/2016,98273455,83123454,,,271
746026,Pi Robles,Carla,746026,667,2016,o,1º de ESO,4º A,N,08/07/2016,98273455,83123454,,,271
996506,Ramos González,Santiago,996506,667,2016,o,1º de ESO,4º A,N,08/07/2016,98273455,83123454,,,271
716242,Fernández Olmos,Santiago,716242,667,2016,o,1º de ESO,4º A,N,08/07/2016,98273455,83123454,,,271
472777,Arenas Lopetegui,Luisa,472777,667,2016,o,1º de ESO,4º A,N,08/07/2016,98273455,83123454,,,271
233678,Margall Brey,Luis ,233678,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
928356,Ramos Ramos,Carla,928356,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
111085,Gómez Zapatero,Óscar,111085,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
431279,Margall Lopetegui,Dolores,431279,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
702052,López Céspedes,Carla,702052,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
188976,Lopetegui Margall,Manuel,188976,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
736117,Gómez Fernández,Enrique,736117,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
792475,Gómez Lopetegui,Carla,792475,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
904247,Rodríguez Fernández,Encarnación,904247,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
756829,Ramos Gómez,Carlos,756829,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
558300,Ulpiánez Olmos,Antonio,558300,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
427665,Brey Olmedo,Luis ,427665,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
713603,García Olmos,Óscar,713603,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
957973,Brey García,Petra,957973,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
537249,González Lopetegui,Dolores,537249,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
915366,Nogueras Lopetegui,Petra,915366,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
806233,Gómez Zapatero,Óscar,806233,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
512346,Pi López,Francisco,512346,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
398279,Margall Gómez,Manuel,398279,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
712413,López Robles,Encarnación,712413,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
351382,Robles Ramos,Antonio,351382,667,2016,o,1º de ESO,4º B,N,08/07/2016,98273455,83123454,,,271
